border,back,ink,mask,stock
line,fate,energetic,,black
line,fate,sanguine,,black
line,fate,lavender,,black
line,fate,santo,,black
line,fate,ferrous,,black
line,fate,octarine,,black
line,fate,emerald,,black
line,fate,bubble-gum,,black
line,fate,fools-gold,,black
line,fate,macbeth,,black
line,fate,ward,,black
line,fate,garnet,,black
line,fate,opal,,black
line,fate,dusk,,black
line,fate,dawn,,black
line,fate,witching-hour,,black
line,fate,magi,,black
line,fate,energetic-bright,,black
line,fate,sanguine-bright,,black
line,fate,santo-bright,,black
line,fate,lavender-bright,,black
line,fate,ferrous-bright,,black
line,fate,octarine-bright,,black
line,fate,emerald-bright,,black
line,fate,energetic-brilliant,,black
line,fate,sanguine-brilliant,,black
line,fate,lavender-brilliant,,black
line,fate,santo-brilliant,,black
line,fate,ferrous-brilliant,,black
line,fate,octarine-brilliant,,black
line,fate,emerald-brilliant,,black
birka-inverted,swords,energetic,,black
birka-inverted,swords,octarine,,black
birka-inverted,swords,charcoal,,black
birka-inverted,swords,fools-gold,,black
birka-inverted,swords,macbeth,,black
birka-inverted,swords,energetic-bright,,black
birka-inverted,swords,energetic-brilliant,,black
birka-inverted,swords,octarine-bright,,black
birka-inverted,swords,octarine-brilliant,,black
odal,wyrd,charcoal,,black
odal,wyrd,runic,,black
odal,wyrd,ward,,black
odal,wyrd,wotan,,black
odal,wyrd,santo,,black
odal,wyrd,santo-bright,,black
odal,wyrd,santo-brilliant,,black
midgard-serpent,oath-rings,fools-gold,,black
midgard-serpent,oath-rings,sultan,,black
midgard-serpent,oath-rings,sultana,,black
midgard-serpent,oath-rings,macbeth,,black
solar-cross,oath-rings-inverted,sanguine,,black
solar-cross,oath-rings-inverted,ferrous,,black
solar-cross,oath-rings-inverted,octarine,,black
solar-cross,oath-rings-inverted,sanguine-bright,,black
solar-cross,oath-rings-inverted,ferrous-bright,,black
solar-cross,oath-rings-inverted,octarine-bright,,black
solar-cross,oath-rings-inverted,sanguine-brilliant,,black
solar-cross,oath-rings-inverted,ferrous-brilliant,,black
solar-cross,oath-rings-inverted,octarine-brilliant,,black
round,cup-wider,sultan,,black
round,cup-wider,sultana,,black
round,cup-wider,energetic,,black
round,cup-wider,sanguine,,black
round,cup-wider,lavender,,black
solar-cross,cup-extra,emerald-brilliant,,black
solar-cross,cup-extra,lavender-brilliant,,black
solar-cross,cup-extra,macbeth,,black
birka,knotwork-moon,bubble-gum,,black
moon,knotwork-moon,bubble-gum,,black
haus-3,fate,fools-gold,,black
saxon,oath-rings-inverted,fools-gold,,black
saxon,oath-rings-inverted,energetic,,black
saxon,oath-rings-inverted,energetic-bright,,black
saxon,oath-rings-inverted,sanguine,,black
saxon,oath-rings-inverted,sanguine-bright,,black
valknut,helmet,emerald,,black
valknut,helmet,emerald-bright,,black
valknut,helmet,sanguine-bright,,black
valknut,helmet,charcoal,,black
valknut,helmet,macbeth,,black
valknut,helmet,garnet,,black
valknut,helmet,energetic,,black
valknut,helmet,energetic-bright,,black
valknut,helmet,energetic-brilliant,,black
sun,compass,energetic,,black
sun,compass,energetic-bright,,black
sun,compass,energetic-brilliant,,black
birka,cups,santo,,black
birka,cups,lavender,,black
birka,cups,energetic,,black
odal,odal-rune,ferrous,,black
odal,odal-rune,ferrous-bright,,black
odal,odal-rune,ferrous-brilliant,,black
odal,odal-rune,emerald,,black
staggered,raven-outline,santo,,black
staggered,raven-outline,lavender,,black
round,raven-solid,opal,,black
moon,swords,opal,,black
moon,swords,energetic,,black
moon,swords,sanguine,,black
moon,swords,lavender,,black
moon,swords,ferrous,,black
moon,swords,octarine,,black
moon,swords,emerald,,black
moon,swords,ward,,black
valknut,compass,ward,,black
haus-1,saxon-bordered,garnet,,black
haus-3,saxon-bordered,energetic,,black
haus-3,saxon-bordered,lavender,,black
haus-3,saxon-bordered,santo,,black
haus-3,saxon-bordered,ferrous,,black
haus-3,saxon-bordered,octarine,,black
haus-3,saxon-bordered,emerald-bright,,black
haus-4,saxon-bordered,ferrous-brilliant,,black
haus-4,saxon-bordered,energetic-bright,,black
haus-4,saxon-bordered,energetic-brilliant,,black
staggered,compass,energetic,,black
naked,compass,santo,,black
sun,compass,santo-bright,,black
moon,cups,energetic,,black
moon,cups,sanguine,,black
moon,cups,santo,,black
moon,cups,ferrous,,black
moon,cups,octarine,,black
moon,cups,emerald,,black
moon,cups,sultana,,black
moon,cups,bubble-gum,,black
moon,cups,magi,,black
moon,cups,opal,,black
moon,cups,dusk,,black
moon,cups,dawn,,black
moon,cups,ferrous-bright,,black
moon,cups,energetic-brilliant,,black
solar-cross,wyrd,sanguine-bright,,black
solar-cross,wyrd,emerald-bright,,black
solar-cross,helmet,santo-bright,,black
solar-cross,helmet,lavender-brilliant,,black
solar-cross,knotwork-ravens,magi,,black
solar-cross,knotwork-ravens,fools-gold,,black
solar-cross,knotwork-ravens,runic,,black
odal,helmet,sultan,,black
odal,helmet,witching-hour,,black
odal,wyrd,ferrous,,black
odal,wyrd,octarine,,black
odal,wyrd,energetic-bright,,black
thicc,cup-wider,lavender-brilliant,,black
thicc,cup-wider,witching-hour,,black
saxon,saxon,energetic,,black
saxon,saxon,fools-gold,,black
cinematic,cinematic,cinematic,cinematic,black
